Проект,Категории,Цена,Заявки
Написание SEO статей,Копирайтинг,,указан
Адаптивный дизайн магазина автозапчастей,Дизайн сайтов,$200,22
Сделать сайт адаптивным,HTML-верстка,,указан
"Доработать ИМ. Ocstore. Кнопку ""Показать ещё"" в каталог.",Веб-программирование,,нет
Продвижение сайта вебкам студии,Поисковые системы (SEO),$180,10
Редизайн сайта Joomla,Дизайн сайтов,,15
Статус беженца в России: как оформить и что он дает,Копирайтинг,$1,нет
Наполнение сайта товаром. Движок Prestashop версия 1.6.,Наполнение сайтов,,11
Интеграция AmoCRM c лендингом и CPA-сетью,Веб-программирование,,1
"3d Анимация SCI -Fi , CGI 3D animated. 2 минутный тизер.",3D-графика,,3
Специалист по работе с аудио и видио монтажем,Аудиомонтаж,,7
Вебсервис по анализу данных и отправки по расписанию отчетов,Веб-программирование,,2
Настроить Captive portal,Веб-программирование,,нет
Дизайн лендинга,Дизайн сайтов,$65,38
"Сайт ""под ключ"", продвижение в ЯД",Сайты «под ключ»,,19
Создание сайта,Веб-программирование,,12
Туристический сервис Описания географических объектов. Глубокий рерайт,Рерайтинг,,5
Адаптивный сайт на Joomla,HTML-верстка,,12
Редизайн сайта,Дизайн сайтов,$50,13
Перевод текста (английский язык),Переводы,,указан
Сделать определение города по IP,Веб-программирование,,7
Реалистичная визуализация виллы в unreal engine 4 (unity 5),Интерьеры и Экстерьеры,$550,18
Переделать меню на WP,Системы управления (CMS),$25,3
Доработка проекта на Joomla + VirtueMart3- срочно,Интернет-магазины,$110,2
Требуется квалифицированный специалист 1С,1С-программирование,,4
Интеграция croppie.js в Вордпресс,Веб-программирование,,3
Наполнение сайта,Наполнение сайтов,,4
Сверстать форму в рамках готовой верстки,HTML-верстка,,5
Сверстать письмо,HTML-верстка,,20
Софт XMPP PHP для уведомлений клиентов,Веб-программирование,$120,3
Рерайт и размещение отзывов на форумах.,Копирайтинг,$200,7
*Контрольная работа по Обеспечению противодействий коррупции,"Контрольные, Задачи и Тесты",,нет
Приложение iOS,ПО для мобильных устройств,,15
Установить и настроить Redmine,Веб-программирование,,3
Разработка баннера для динамического ремаркетинг GDN,Баннеры,,7
Разработка баннера для динамического ремаркетинг GDN,Баннеры,,7
Несколько задач и создание сайта,Веб-программирование,,4
Кастомизировать вывод изображений в стандартной галерее Wordpress,Веб-программирование,,4
Необходима работа с  видео отзывами,Видеомонтаж,,7
Кастомизировать тему под вордпресс,Веб-программирование,,5
Сайт под ключ для продуктовой компании,Сайты «под ключ»,$150,указан
Нужны опытные специалисты по фреймворкам,Веб-программирование,,6
Рерайтинг для интернет-магазина и добавление товаров,Рерайтинг,,20
Интегрировать новую фотогалерею в сайт,Веб-программирование,$30,1
Добавить модуль на opencart 1.5.6.4,Веб-программирование,,2
Разработать приложение для android,ПО для мобильных устройств,,указан
Проверка орфографии и пунктуации,Редактирование и Корректура,,8
"Размещение индексируемых ссылок на сайт ""ремонт быт.техники""",Социальные сети (SMM и SMO),,1
Разработать сайт интернет -магазина,Интернет-магазины,,45
Написание постов на польских форумах,Переводы,,9
Модернизировать плагин под новую версию 1с,Веб-программирование,,нет
Модернизация и доработка рабочего сайта на YII,Веб-программирование,$500,4
Доработка магазина,Веб-программирование,,2
Разработка дизайна группы ВК,Дизайн сайтов,,15
Калькулятор для сайта (Wordpress),Веб-программирование,,5
SEO - аудит,Поисковые системы (SEO),,18
Настроить Zoho CRM,Веб-программирование,,1
Дизайн сайта,Дизайн сайтов,,23
Копирайт на разные тематики,Копирайтинг,$1000,14
Срочно необходимо исправить баг в сайте на Drupal 7,Веб-программирование,,5
Загрузка товаров,Веб-программирование,,5
Вычитка текста компьютерной игры,Редактирование и Корректура,,24
Сверстать и установить макет на любую ЦМС,HTML-верстка,$50,указан
"Необходимо доработать сайт, написанный на ROR",Веб-программирование,,1
Необходимо поднять сервер RoR,Системное администрирование,,4
Перевод научных статей (англ. яз.),Переводы,,25
Натянуть верстку - WordPress,Системы управления (CMS),,указан
Редактура научных статей,Редактирование и Корректура,,44
Требуется видемонтаж,Видеомонтаж,,14
Требуется специалист Symfony для выполнения ряда задач.,Веб-программирование,,1
Создание сайта для квеста,Сайты «под ключ»,,19
Передобавить картинки,Наполнение сайтов,,12
Правки ИМ на Битриксе,Веб-программирование,$250,5
Рерайтер медицина,Рерайтинг,$700,41
"Разработка сервиса ""Магазин объявлений"". Backend программист",Веб-программирование,,4
Разработать сайт с каталогом,Сайты «под ключ»,$62,14
Сбор контактной информации Neo System,Наполнение сайтов,,нет
Мелкие правки на сайте,HTML-верстка,,указан
"Требуется приложение для кинотеатра  IOS, Android",ПО для мобильных устройств,,13
Правки в битриксе,Системы управления (CMS),,4
Доработка сайта на ProcessWire,Системы управления (CMS),$50,1
Добавление своих рецептов для artlavca.ru,Наполнение сайтов,,нет
Модернизация сайта по подробному ТЗ (Bitrix),Веб-программирование,,3
Разработка двух плагинов для WP,Веб-программирование,$400,7
Настроить работу скрипта,Веб-программирование,$8,2
Оптимизация и доработка сайта,Веб-программирование,,5
Крауд-маркетинг,Поисковые системы (SEO),,3
Восстановить сайт Опенкарт (поправить настройки),Веб-программирование,$5,указан
Разработка мед сайта с интеграцией API (дизайн есть),Веб-программирование,$150,1
Курсовая: Педагогика.,"Рефераты, Курсовые и Дипломы",$15,5
Диплом по немецкому,"Рефераты, Курсовые и Дипломы",,2
Натянуть верстку на Opencart,Веб-программирование,$160,2
Публикация постов в группе ВК,Копирайтинг,,6
Контрольная работа,"Контрольные, Задачи и Тесты",$10,2
Восстановление забытого пароля Access 2010,Прикладное ПО,,1
"Оформление схем, графиков, презентаций",Презентации,,5
Дизайн флаера-купона на скидку,Дизайн продукции,,26
Написать небольшой класс на PHP,Веб-программирование,,4
Необходимо написать скрипт генерации URL (через поиск на сайте),Веб-программирование,,1
Перенос товаров из shop script 5 в shop script 6,Системы управления (CMS),$100,3
Отрисовать и сверстать Landing-page,Сайты «под ключ»,,12
Адаптировать сайт под мобильные устройства.,HTML-верстка,,14
"Курсовые по java и  с++ (уровень 2-3 курс), знание англ. яз.","Рефераты, Курсовые и Дипломы",,2
Разработать мобильное приложение для сайта,ПО для мобильных устройств,,7
Раскрутить группу,Социальные сети (SMM и SMO),$25,4
Дизайн шаблонов для постеров,Дизайн продукции,,10
Программирование и верстка интернет-магазин Opencart,Веб-программирование,,2
Нужен конструктор визиток для сайта,Веб-программирование,$150,3
Сделать интернет-магазин для доставки еды,Интернет-магазины,$100,13
"Программа для Вконтакта (что-то вроде браузера, заточенного под ВК)",Прикладное ПО,,1
Реализовать фильтры товаров для интернет-магазина на Ubercart,Интернет-магазины,,1
Копирайтер по авто-тематике для создания карточек объектов,Копирайтинг,$50,4
Почистить от вредоносного кода сайт на Wordpress,Системы управления (CMS),,7
Нужна помощь в поиске операторов,Подбор персонала (HR),$2,6
"Нужен ""резиновый"" HTML баннер",Баннеры,,4
Настроить Wordpress шаблон,Системы управления (CMS),,6
Поправить парсер кинопоиска,Веб-программирование,,3
Курсовая по электронике,"Рефераты, Курсовые и Дипломы",$47,2
Use-case диаграмма,"Контрольные, Задачи и Тесты",$5,нет
"Необходимо продвинуть сообщество в соц. сетях(ВК, Инстаграмм, ФБ)",Социальные сети (SMM и SMO),,7
Продвижение сайта,Поисковые системы (SEO),,23
Раздублировать обьявление по форумам,Наполнение сайтов,,2
Парсинг вк,Прикладное ПО,,6
Сделать аналог сайта на Wordpress,Веб-программирование,,3
Плагин или скрипт для массового создания постов на Wordpress,Веб-программирование,,4
Ищу веб-дизайнера для доработки дизайна сайта.,Дизайн сайтов,,29
Сделать свои прокси,Веб-программирование,,1
Вал,Чертежи и Схемы,,16
Ищем копирайтеров для написания текстов на английском языке,Копирайтинг,$250,9
Онлайн тест по математике,"Контрольные, Задачи и Тесты",,4
Необходимо сверстать несколько страниц и натянуть на CMS MODX.,Веб-программирование,,8
Размещение постов на тематические форумы,Веб-программирование,,нет
Требуется разработать мобильное приложение,ПО для мобильных устройств,,7
Быстро сделать сайт на основе шаблона,Веб-программирование,,2
Требуется доработка сайта на opencart 2.0,Тестирование сайтов,$160,3
Правки по шаблонам и админке сайта на php,Веб-программирование,,7
Вёрстка 2-3  стр на сайте Joomla,HTML-верстка,,10
SEO тексты для интернет магазина,Продающие тексты,,6
Ищу дизайнера с опытом работы над android приложениями,Дизайн мобильных приложений,,14
Требуется копирайтер для напис статей на блог о windows,Копирайтинг,,9
Верстка и программирование сайта,Веб-программирование,,указан
Перевод книги,Переводы,,42
Требуется доверстать страницу,HTML-верстка,$25,34
Сделать небольшой модуль для Опенкарт.,Системы управления (CMS),$20,2
Доработка битрикс,Системы управления (CMS),,2
Создать 10 картинок для рекламных постов ВК,Иконки и Пиксель-арт,,10
Рерайт на женский сайт,Рерайтинг,,6
Магазин по продаже авто-запчастей (верстка и программирование),Веб-программирование,,5
"Разыскивается taskrabbit, freelance, youdo ит.п.",Веб-программирование,$100,нет
Интегрировать новую фотогалерею в сайт,Веб-программирование,$30,2
Сделать верстку,HTML-верстка,,23
Правки по сайту,HTML-верстка,,25
"Настроить аудио плеер (язык сайта - python, django)",Системное администрирование,,1
Настроить модуль Яндекс Маркета,Веб-программирование,$5,указан
Небольшая доработка Wordpress,Веб-программирование,,указан
Интернет магазин,Интернет-магазины,,21
Разработка дизайна для сайта,Дизайн сайтов,,40
Нужен корпоративный сайт,Сайты «под ключ»,,22
Название для алкогольного магазина,Нейминг и Слоганы,$15,73
Диплом по бухучету,"Рефераты, Курсовые и Дипломы",,2
Вручную догруппировать ключи СЯ,Поисковые системы (SEO),$15,4
Лабораторная Python,Лабораторные работы,,нет
Парсинг цен и отзывов на 2 сайтах + размещение офферов,Прикладное ПО,,1
Сделать дизайн сайта (НЕ ЛЕНДИНГ),Дизайн сайтов,$130,30
Логотип и фирстиль студии,Логотипы и Знаки,$70,14
Внести сведения о торговых центрах на сайт,Наполнение сайтов,,4
Дизайн графической модели роботизированного склада,Прикладное ПО,,1
Нужен сайт стильный,Сайты «под ключ»,,26
Правки на сайте joomla joomshoping,Веб-программирование,,1
Сценарий дня рождения,Сценарии,,6
Разработка контента для сайта,Наполнение сайтов,,1
Баннер корел - наружная реклама,Наружная реклама,$10,1
"Статьи на тему ""Материнство""",Копирайтинг,$200,28
Продвижение и оптимизация сайта,Поисковые системы (SEO),,указан
Помочь с версткой сайта,HTML-верстка,,34
Нужен парсер,Веб-программирование,,8
Ищу толкового программиста для работы на платформе cs-cart,HTML-верстка,,2
Копирайт. Описание товаров. 200+ позиций,Копирайтинг,,6
Доработка проекта на Drupal - срочно,Веб-программирование,$120,6
Дизайн брошюры (электронный вариант и печатный вариант),Дизайн продукции,,18
Нужно нстроить https,Системное администрирование,,7
Макет под мобильную верстку.,Дизайн сайтов,,указан
Верстка адаптивная,HTML-верстка,,32
Поддомены на Wordpress+WooCommerce,Веб-программирование,,нет
Натянуть верстку на OpenCart 2,Системы управления (CMS),,3
Скрипт для браузерного Flash приложения,Веб-программирование,,нет
Студенческая работа этика,"Рефераты, Курсовые и Дипломы",,9
Интересные факты о земледелии,Копирайтинг,,6
Коллаж,Обработка фотографий,,21
Наполнение товарами интернет магазин,Наполнение сайтов,,20
Доработка лендинга на WordPress,HTML-верстка,$60,1
Доработка сайта на wordpress,Веб-программирование,,5
Необходимо сверстать лендинг.,HTML-верстка,$31,20
Дизайн полиграфии - доработка,Дизайн продукции,$10,указан
Требуется создать сеть сателитов на движке zebrum cms,Веб-программирование,,2
Дизайн Интернет-Магазина (Детская одежда),Дизайн сайтов,,указан
Текст посадочной страницы(Landing page). Тема обетонные полы.,Продающие тексты,,9
Установка нового дизайна на существующий сайт (Joomla),Системы управления (CMS),,8
Вытащить куки из браузера и сохранить в формате CURL,Веб-программирование,,3
Доработка дилерского портала asp.net mvc,Веб-программирование,$600,4
Разработать рисунок перфорации листового металла,Чертежи и Схемы,,5
Правки ОпенКарт,Веб-программирование,,3
Разовая настройка кампаний в директе,Контекстная реклама,,14
Необходима помощь в раскрутке нового проекта.,Управление проектами,,2
Создание информационного событийного сайта,Сайты «под ключ»,,12
Кеширующий Http Proxy with SSL,Прикладное ПО,,указан
Реверс-инжиниринг сетевого протокола приложения,Системное администрирование,$1000,1
Развернуть и настроить WooCommerce+LMS на Wordpress,Веб-программирование,,3
Разработка IOS/Android app можно на фрейме срочно,ПО для мобильных устройств,$250,1
Сохранить контент группы ВК,Социальные сети (SMM и SMO),,10
Сделать запрос к api Росреестра,Веб-программирование,,3
Нарисовать дизайн лендинга.,Дизайн сайтов,$47,20
Человека для украшения офиса под новый год,Интерьеры и Экстерьеры,,2
Требуется Битрикс программист для доработки сайта,Системы управления (CMS),,4
Ищу контент менеджера для сайта медицинской тематики!,Наполнение сайтов,,12
Создание флеш-презентации,Презентации,,14
Верстка по макету PSD,HTML-верстка,,указан
Любительский перевод с английского на русский,Переводы,,52
Фронтенд разработка (jQuery),Веб-программирование,,3
Необходимо выполнить редизайн блога в LIVEJOURNAL,Дизайн сайтов,$150,15
Создание маркет-кит (презентации),Дизайн продукции,,указан
Полностью перенести сайт с движка joomla в DLE,Системы управления (CMS),,3
"Добавить на сайт, построенный на CMS WIX.com, прогресс бар загрузки.",Веб-программирование,,1
Сверстать psd макет и посадить на wordpress,HTML-верстка,,42
Требуется помощь в настройке Ease booking есть такая сборка Drupal,Дизайн сайтов,,2
Почему надо вступать в клуб инвесторов,Копирайтинг,$1,5
Требуется опытный Wordpress программист,Веб-программирование,,6
Заполнение сайта интернет-магазина,Наполнение сайтов,,44
3d дизайн мотосалона,3D-графика,,38
3d-визуализация дома,3D-графика,,20
Рерайт текста,Рерайтинг,,указан
SEO-оптимизация и продвижение Интернет-магазина,Поисковые системы (SEO),,18
Видеоотзыв,Видеомонтаж,$10,5
Повышение конверсии Интернет-магазина,Поисковые системы (SEO),,9
Формирование статических URL из динамических,Веб-программирование,,1
Исправить ошибку в базе MySQl  Joomla,Базы данных,,4
Постинг текстов на WP сайт,Наполнение сайтов,$35,24
"Скачать контент, создать систему управления музыкой",Системы управления (CMS),$300,2
Сделать внутреннею страницу сайта и пару блоков на главку,Дизайн сайтов,$20,11
Сделать рассылку из группы ВК,Социальные сети (SMM и SMO),,3
Логотип,Логотипы и Знаки,,36
Написание отзывов на площадке Товары Мейл.ру,Копирайтинг,,43
Видео баннер в Html5 или Flash,Баннеры,,4
Переделать шаблон cs-cart.,Дизайн сайтов,,12
Верстальщик сайта,HTML-верстка,$35,32
Разработка подарочного купона в Красноярске,Дизайн продукции,,4
Требуются услуги фотошопа,Обработка фотографий,,указан
Дизайн логотипа + бренд бук,Фирменный стиль,$50,указан
Верстка сайта + моб версия на WP,Системы управления (CMS),$150,16
Дизайн проект для магазина проф. косметики,Интерьеры и Экстерьеры,,указан
Переверстать сайт на Joomla,HTML-верстка,$30,10
Отсылка форм на сайте. Добавить программу расчета лунного дня на сайт,Веб-программирование,,6
Натянуть на CMS.,Системы управления (CMS),,14
Консультации по внедрению внешней OCR,Системы управления (CMS),,1
Импорт расходов из соц. сетей в Google Analytics,Веб-программирование,,1
Переорганизовать сайты на разных хостингах.,Системное администрирование,,12
Баннер-акция для сайта,Баннеры,$10,указан
Два ролика по 20 секунд. Инфографика. Моушн-графика.,Видеомонтаж,$180,11
Ведение группы в Вконтакт .Тема Психология .,Социальные сети (SMM и SMO),,13
Вёрстка интернет-магазина товаров для животных,HTML-верстка,,26
Логотип и Фирменный стиль,Фирменный стиль,,34
Макрос,Прикладное ПО,,8
В проект требуется JS программист + верстка на шаблоне bootstrap,Веб-программирование,$250,нет
Создание лендинга для продажи смарт часов,Сайты «под ключ»,,19
Оконное приложения для нанесения текста на изображение.,Прикладное ПО,$350,3
Создание онлайн редактора изображений для интернет магазина.,Прикладное ПО,,1
Разработка проекта на Yii2,Веб-программирование,,5
Верстка,HTML-верстка,$200,указан
Разработка видеостатьи,Видеомонтаж,,7
Контент-менеджер Magento,Наполнение сайтов,,30
Адаптировать сайт под все устройства,HTML-верстка,,17
Задачи по физике,"Контрольные, Задачи и Тесты",,3
Задачи по геометрии,"Контрольные, Задачи и Тесты",,нет
"Чертеж по дисциплине Организация, технология и проектирование предприя",Чертежи и Схемы,,нет
Настроить инстаграм,Социальные сети (SMM и SMO),,нет
Доработка курсовой работы,"Рефераты, Курсовые и Дипломы",,нет
Доработка реферата,"Рефераты, Курсовые и Дипломы",,нет
Дизайн лендинга,Дизайн сайтов,,49
Адаптация скрипта для мобильных устройств,Интернет-магазины,$5,5
Адаптация сайта на Joomla 2.5 под моб.устройства,HTML-верстка,,10
Нужно скачать все файлы с одного сайта,Наполнение сайтов,,27
Видео - типографика+инфографика. 15-30сек - youtube pre roll,Видеомонтаж,,10
Переделать блоки сайта,HTML-верстка,,13
"Статьи по электрощитовому оборудованию (монтаж, нво, автоматика)",Копирайтинг,,7
"Подготовка материалов для сайта - обработка фото, написание текста",Копирайтинг,,7
Перенести сайт на WordPress,Системы управления (CMS),,5
Дизайн. Доработать 2 похожие страницы на сайте.,Дизайн сайтов,$60,18
Дизайн desktop приложения,Интерфейсы игр и программ,$750,15
Настройка online платформы poryadcomua.wordpress.com,Веб-программирование,,2
Баннеры для интернет магазина,Баннеры,,28
Доработка системы SAP С4С (Cloud for Customer),Веб-программирование,,1
Etsy добавить продукт в корзину используя api,Интернет-магазины,,1
"SEO оптимизация сайта для Google, Yandex, Rambler",Поисковые системы (SEO),,10
Галерея для каталога на движке PrestaShop 1.6,Интернет-магазины,$150,3
Написание текстов для сайта. Направление водопровод и канализация.,Копирайтинг,,14
Нарисовать персонажа (без фона),Иллюстрации и Рисунки,$5,16
Перевести сайт с русского на английский язык без потери смысла.,Переводы,$10,26
Перевод англоязычной песни,Переводы,,указан
Нарисовать дизайн лендинг страницы на тему отделка деревянных домов,Дизайн сайтов,$80,указан
Сайт по базовому шаблону opencart,Веб-программирование,$80,4
Нарисовать 3 иконки для сайта,Иконки и Пиксель-арт,,13
Разработка сайта визитки для транспортной компании,Веб-программирование,,13
Курсовая по логистике на украинском яз.,"Рефераты, Курсовые и Дипломы",,нет
Исправить результат поиска для мобильных устройств,Интернет-магазины,,нет
Настройка яндекс директа,Контекстная реклама,,13
Нужен php/nodejs-разработчик,Веб-программирование,,2
Разработка сим-сервера для оборудования Portech,Прикладное ПО,,нет
Карта расположения объекта,Картография,,указан
Написать текст по ключевым словам на простую тематику,Рерайтинг,,4
JOOMLA [Ранги и медали в компоненте AlphaUserPoints],Системы управления (CMS),$24,нет
Модуль для Wordpress - объявления,Системы управления (CMS),$500,1
Анимированный баннер 468х60,Баннеры,,16
Вк/телеграм Бот-парсер,Веб-программирование,,5
Оформление курсовой работы.,"Рефераты, Курсовые и Дипломы",$10,4
Натянуть верстку на Drupal 7 либо сделать верстку и натянуть ее после,Системы управления (CMS),,4
Внести изменения в Google Chrome,Веб-программирование,,нет
Внести изменения в Mozilla Firefox,Веб-программирование,,1
Дизайн инструкци для кофеварки,Дизайн продукции,,21
Выполнить проект в ArchiCAD,Чертежи и Схемы,$39,6
Создать и наполнить магазин на платформе insales.ru,Веб-программирование,,5
Написать 1200 маленьких рерайтов,Рерайтинг,,13
Правки WP,Системы управления (CMS),$30,19
Поставить на ноги информационный сайт.,Наполнение сайтов,,нет
Дипломная работа по Механике,"Рефераты, Курсовые и Дипломы",,2
Модуль автопоста и рерайта статьи для саттелита,Веб-программирование,$30,нет
Нужно вылечить VPS / VDS от вирусов,Веб-программирование,,5
Создать мессенджер для iOS,ПО для мобильных устройств,,10
Обновить сайт на Prestashop,Интернет-магазины,,2
Озвучка 50-ти секундного ролика,Озвучивание,,33
Нужно отредактировать мини-книгу на 5000 знаков б.п.,Редактирование и Корректура,,14
Исправление косяков верстки DLE,HTML-верстка,,10
Занесение контактов в таблицу,Наполнение сайтов,,27
Размещение рекламы сайта,Социальные сети (SMM и SMO),,13
"Перенос базы Acces на MySQL, согласно структуре OsCommerce",Веб-программирование,$20,4
Верстка и программирование сайта на бесплатном движке,HTML-верстка,,указан
Верстка моб версии шопа под cms vamshop,HTML-верстка,,указан
Cтатистика продаж JoomShopping,Веб-программирование,,4
Плагин обновления остатков и цен (внесены дополнения)!,Веб-программирование,,24
Мастер email рассылок,Социальные сети (SMM и SMO),,1
Необходимо реализовать скрипт конфигуратора для сайта.,Веб-программирование,,1
Размещение статей в сети | Контент менеджер редактор,Наполнение сайтов,$1,10
Cкрипт /вопр-отв/ тренажера  с оцениванием времени реаrции,Веб-программирование,,1
Создание не большого сайта аренды квартиры,Сайты «под ключ»,,36
Написать диплом (отредактировать теорию),"Рефераты, Курсовые и Дипломы",,4
Обложка для стрима ОБС,Дизайн сайтов,,6
Разработка оформления и значка канала на YouTube,Логотипы и Знаки,$5,6
Вырезать из видео два коротких отрезка 1-2 сек.,Видеомонтаж,,30
SEO продвижение.,Поисковые системы (SEO),,12
Разработка логотипа линии конопляных пищ.продуктов и этикетки масла,Дизайн продукции,$100,указан
Статьи (стройка),Копирайтинг,,31
Доработка 1С8 Управление торговлей,1С-программирование,,указан
Копия 100 шаблонов,HTML-верстка,,4
Дизайн горизонтальной заставки для группы в ВК.,Баннеры,,20
Создать и настроить зеркало к веб-сайту,Веб-программирование,,2
Написать модуль для Opencart 2.2 мултивендор с Google Translate,Веб-программирование,,2
Написать модуль для Opencart 2.2 мултивендор с Google Translate,Веб-программирование,,2
Ищу копирайтера для написания статей в блог о железнодорожниках,Копирайтинг,,8
Написать посты для ВК и ОК,Копирайтинг,,указан
Небольшие корректировки по opencart,Системы управления (CMS),,3
Система скидок для магазина,Интернет-магазины,,нет
Проект с поэтапным исполнением,Веб-программирование,,4
SEO специалист,Поисковые системы (SEO),,11
Перевод с китайского 2253 главы,Переводы,$21450,8
Проверить сайт на предмет оптимизации и устранить самые явные баги.,Поисковые системы (SEO),,8
Накрутка подписчиков инстаграм,Социальные сети (SMM и SMO),,8
Курсовая работа по журналистике,"Рефераты, Курсовые и Дипломы",,1
"Нужно написать статьи на английском, есть образцы",Копирайтинг,,10
Нужна программа для игры,Разработка игр,,1
8 статей по примерно 4000зн на автомобильную тему,Копирайтинг,$50,10
Создание сайта агентства недвижимости,Сайты «под ключ»,,21
Перевод + Редактироватирование видео ролика,Озвучивание,,5
Corel нарисовать дизайн для подарочной коробки,Дизайн продукции,,указан
Услуги поиска информации и аналитики на англ. языке. Сфера канцелярии.,Наполнение сайтов,$100,4
Дизайн продающего лендинка,Дизайн сайтов,,нет
Вёрстка формы подписки,HTML-верстка,,22
Смена сайта с http на https,HTML-верстка,,11
Доработка модуля купонов или создание нового для Virtuemart,Веб-программирование,,1
Нужен дизайнер внутр.реклама,Наружная реклама,$30,21
Надо напарсить запросы по страницам сайта,Контекстная реклама,,8
(WordPress) Добавить выпадающее меню из PSD,Системы управления (CMS),$15,7
Напарсить запросы по страницам сайта,Поисковые системы (SEO),,5
Вёрстка интернет-магазина Joomla Virtuemart по макетам,HTML-верстка,,5
Сверстать сайт и настроить на OpenCart 2 + перенос базы с Opencart 1.5,HTML-верстка,$200,2
"Реализовать простое приложение, Apache cordowa (android, IOS)",Прикладное ПО,,1
Парсер Ebay (фидбек и продажи),Веб-программирование,,2
Кроссы Intercars для интернет магазина на техдок,Системы управления (CMS),,нет
Seo-оптимизация сайтов,Поисковые системы (SEO),$500,6
"Написание отзывов, статей, наполнение форумов",Копирайтинг,,31
Проект Росинка,Управление продажами,,1
Создание сайта+алгорит обработки заявок,Веб-программирование,,8
Нужно настроить импорт купонов на Wordpress,Системы управления (CMS),,3
Написание писем для емейл-рассылки,Продающие тексты,,9
Нужен сайт интернет-магазина ЖБИ на MODX CMS,Интернет-магазины,$100,2
Фотошоп спец,Обработка фотографий,,21
Разработка СЯ в указанной тематике с помощью Key Collector,Контекстная реклама,,4
Компонент  веб форм для битрикс доработка,Веб-программирование,$500,2
Наполнить сайт и оформить 100 стр,Наполнение сайтов,,15
Требуется внешний рекрутер,Подбор персонала (HR),,6
Живая лента на начальной странице,Веб-программирование,,1
Разработка листовки для строительного магазина,Дизайн продукции,$4,15
Разработка продающей листовки,Дизайн продукции,$4,13
"Создать сайт по теме ""Прочистка канализации""",Сайты «под ключ»,,указан
Создание телеграм бота,Веб-программирование,,4
Разработка портала,Веб-программирование,,6
Нужно сделать рерайт 50К,Рерайтинг,,21
Разработка сайта на Wordpress + Woocommerce,Интернет-магазины,$120,5
Задачи ТММ 1 вариант,"Контрольные, Задачи и Тесты",,1
Необходимо написать статью на cтроительную тематику.,Копирайтинг,,12
Создание научного видео 1-2 мин.,Анимация,,7
Наполнение интернет-магазина,Наполнение сайтов,$200,42
Требуется рерайтер,Рерайтинг,,25
Настроить корректную работу мобильной версии сайта Интернет Магазина,ПО для мобильных устройств,,1
Парсер для сбора данных с сайта,Веб-программирование,,2
Сделать дополнительное отображение материала без сайдбара,Веб-программирование,,2
"Разработать дизайн логотипа компании ""Royal Food""",Логотипы и Знаки,$60,36
Сделать дополнительное отображение материала без сайдбара,Веб-программирование,,2
"Разработать дизайн логотипа компании ""Royal Food""",Логотипы и Знаки,$60,36
Парсинг ресурса,Веб-программирование,,1
Минималистический дизайн для крафт-пакетов,Дизайн продукции,$10,14
Правки на одностраничник,Веб-программирование,,5
Иллюстрации,Иллюстрации и Рисунки,$25,6
Настроить контекстную рекламу Yandex Direct + Google Adwords,Контекстная реклама,,11
Контрольная работа,"Контрольные, Задачи и Тесты",,2
Настроить автоматическую цепочку писем в Mailchimp,Служба поддержки,,нет
Шаблон для GameCMS,Дизайн сайтов,,4
"Перенос сайта на CMS + редизайн сайта, Поиск специалиста",Системы управления (CMS),,7
Доработки по сайту,HTML-верстка,,33
